"","title.books","publisher.books"
"129","교육을 위한 메타버스 탐구생활 ","지노"
"130","클라우드 네이티브 트랜스포메이션","에이콘출판사"
"131","사이버 사고 대응 실무 ","에이콘출판사"
"132","맛있는 디자인 포토샵 CC 2022","한빛미디어"
"133","2022 기사패스 빅데이터 분석기사 필기 문제집","한국정보화기술"
"134","인공지능 시대의 문화기술","한빛아카데미"
"135","2022 데이터에듀 빅데이터 분석기사 필기","데이터에듀"
"136","쉽게 배우는 솔리드엣지3D모델링","사이버북스"
"137","R 컬처마이닝 CULTURE MINING","박문사"
"138","코틀린 완벽 가이드","길벗"
"139","처음 시작하는 R 데이터 분석","삼양미디어"
"140","어르신들을 위한 스마트폰 고급 교실 : 스마트폰 고급편","에스엔에스소통연구소"
"141","어르신들을 위한 스마트폰 중급 교실 : 스마트폰 중급편 ","에스엔에스소통연구소"
"142","남호정과 함께하는 즐거운 스마트폰 교실","에스엔에스소통연구소"
"143","진화하는 스마트폰 슬기롭게 활용하기 ","에스엔에스소통연구소"
"144","햐! 스마트폰이 이해되네! ","에스엔에스소통연구소"
"145","스마트북 : 스마트폰 기초편","에스엔에스소통연구소"
"146","쉽게 배우는 스마트폰 활용 백서","에스엔에스소통연구소"
"147","한권으로 끝내는 스마트폰 활용","에스엔에스소통연구소"
"148","입문자에서 전문가로 키우는 스마트폰 백과사전","에스엔에스소통연구소"
"149","비전공자를 위한 EXCEL로 처음만나는 SQL","루나파인북스"
"150","엑셀과 R을 활용한 데이터분석","성진미디어"
"151","사물인터넷과 스마트게이트웨이 활용 프로그래밍","성진미디어"
"152","사물인터넷과 빅데이터서버 활용 프로그래밍","성진미디어"
"153","기계학습 기반의 파이썬 활용","성진미디어"
"154","아두이노를 위한 머신러닝","홍릉"
"155","인터넷 심리학(한국어판)","홍릉"
"156","컴퓨팅 사고","홍릉"
"157","파이썬 프로그래밍 길라잡이","홍릉"
"158","Pytorch를 이용한 기초 딥러닝 코딩","홍릉"
"159","리눅스 C프로그래밍 스킬북","홍릉"
"160","파이썬으로 시작하는 컴퓨터 프로그래밍","한빛아카데미"
"161","파이썬 라이브러리를 활용한 머신러닝","한빛미디어"
"162","러닝 Go","한빛미디어"
"163","프리미어 프로&애프터 이펙트 CC 2022 무작정 따라하기","길벗"
"164","비전공자도 이해할 수 있는 AI 지식","반니"
"165","2022 이지패스 빅데이터분석기사 필기 ","위키북스"
"166","데이터베이스 2 이론 및 실제","지필출판사(지필미디어)"
"167","예제로 배우는 NX CAD","진샘미디어"
"168","IT 용어 도감 277","한스미디어"
"169","알기 쉬운 C 프로그래밍","광문각"
"170","주얼리 3D CAD와 3D 프린팅","전문가집단"
"171","인공지능과 함께 하는 파이썬","성진미디어"
"172","한 권으로 끝내는 아두이노와 파이썬으로 52개 작품 만들기","앤써북"
"173","실패 없는 웹소설 작법서","아이생각(디지털북스)"
"174","딥러닝 파이토치 교과서","길벗"
"175","빅데이터, 쓰다","BOOKK(부크크)"
"176","파이썬으로 배우는 공업수학","지오북스"
"177","인공지능 코딩하기","지오북스"
"178","어르신들을 위한 스마트폰 기초 교실 ","에스엔에스소통연구소"
"179","나도 이제 스마트폰 전문가","에스엔에스소통연구소"
"180","파이썬 네트워크 프로그래밍","복두출판사"
"181","파이썬 연습","그린 (윤덕우)"
"182","CDT 코딩창의개발능력 2급 엔트리","해람북스"
"183","새별의 심플한 PPT 디자인 노하우","알에이치코리아(RHK)"
"184","미래 교육 협동 수업이 답이다","비비투(VIVI2)"
"185","SNS로 돈 벌기","길벗"
"186","C++ PROGRAMMING ","내하출판사"
"187","실전! ARM 임베디드시스템 Firmware / RTOS 완전정복","씨알지테크놀러지(CRZ)"
"188","암호화폐 자동매매 시스템 만들기 with 파이썬","로드북"
"189","꿈꾸는 세상 메타버스 제페토","마린북스"
"190","금융 데이터 분석을 위한 파이썬 판다스","파이스탁"
"191","임종수의 STM32 Cortex-M 완벽활용서 Vol. 1","버무림"
"192","2022 수제비 빅데이터분석기사 필기 1권+2권 합본세트","건기원"
"193","2022 빅데이터 분석기사","아이리포"
"194","파이썬으로 배우는 자료구조 프로그래밍","휴먼싸이언스"
"195","2022 이기적 정보처리기사 필기 절대족보","영진닷컴"
"196","2022 이기적 리눅스마스터 1급 기본서","영진닷컴"
"197","프로그래밍 이론과 실습","한양대학교출판부"
"198","AI시대의 컴퓨터 개론","인피니티북스"
"199","문제 해결력을 높이는 알고리즘과 자료 구조","길벗"
"200","쉽게 배우는 Jira Project 애자일 칸반","제이에스캠퍼스 "
"201","된다! 7일 실무 엑셀 + 최반장의 실무 엑셀 with 피벗 테이블","이지스퍼블리싱"
"202","스크래치 3.0 기반 마인드 플러스와 마이크로비트 마퀸으로 배우는 사고력 코딩","씨마스"
"203","만들면서 배우는 파이썬과 40개의 작품들","앤써북"
"204","열공방 ITQ 파워포인트 2016","시대고시기획 시대교육"
"205","한권으로 코딩과 드론 날로 먹기","잇플ITPLE"
"206","2022 시나공 정보처리기능사 실기","길벗"
"207","시작해 C 언어 라이브러리 (스터디북)","BOOKK(부크크)"
"208","시작해 C 언어 라이브러리 (워크북)","BOOKK(부크크)"
"209","일러스트레이터 CC 무작정 따라하기","길벗"
"210","게임코딩 그것이 알고싶다 1","BOOKK(부크크)"
"211","게임코딩 그것이 알고싶다 2","BOOKK(부크크)"
"212","가상현실 객체 제작기법","BOOKK(부크크)"
"213","코딩마법서 C/C++ 2권 IRON","오일러"
"214","보통의 취준생을 위한 코딩 테스트 with 파이썬","로드북"
"215","컴퓨터 하드웨어 이해 및 설계","그린 (윤덕우)"
"216","비전공자를 위한 딥러닝","디지털북스"
"217","2022 시나공 정보처리기사 실기","길벗"
"218","코딩스쿨 마이크로비트와 코드이노를 이용한 피지컬 컴퓨팅","교학사"
"219","CAD BASIC 드로잉","명인북스"
"220","된다! 최반장의 실무 엑셀 with 피벗 테이블","이지스퍼블리싱"
"221","2022 NEW 출제경향대비 컬러리스트 실기시험 산업기사·기사 세트","미진사"
"222","2022 온고지신 정보통신기사 실기 N제","하움출판사"
"223","회계원리 필기이론","파스칼미디어"
"224","컴퓨팅 기반 문제해결 with 파이썬","인피니티북스"
"225","아티스트를 위한 유니티 URP 셰이더 입문","비엘북스"
"226","전지적 코딩 시점","자유의길"
